Time (s),Altitude (ft),Acceleration (g)
0,26.515,1.894
1.505,212.121,9.167
3.011,875,6.591
4.516,1922.349,-1.212
6.022,2823.864,-0.909
7.527,3579.545,-0.606
9.032,4202.652,-0.455
10.538,4706.439,-0.303
12.043,5104.167,-0.227
13.548,5409.091,-0.227
15.054,5607.955,0
16.559,5727.272,0
18.065,5793.561,-8.409
19.57,5780.303,-0.152
21.075,5714.015,-0.833
22.581,5621.212,-1.061
24.086,5568.182,-0.985
25.591,5475.379,-0.985
27.097,5395.833,-0.985
28.602,5329.545,-0.985
30.108,5236.743,-0.985
31.613,5157.197,-0.985
33.118,5090.909,-1.136
34.624,5011.363,-0.985
36.129,4918.561,-0.909
37.634,4852.272,-0.985
39.14,4785.985,-0.985
40.645,4706.439,-0.985
42.151,4613.637,-0.985
43.656,4547.348,-1.061
45.161,4481.061,-0.985
46.667,4414.772,-0.909
48.172,4295.455,-0.985
49.677,4242.424,-0.985
51.183,4162.879,-0.985
52.688,4083.333,-0.985
54.194,3990.53,-0.985
55.699,3924.242,-1.212
57.204,3857.955,-0.985
58.71,3778.409,-0.909
60.215,3698.864,-0.909
61.72,3619.318,-0.909
63.226,3553.03,-0.985
64.731,3460.227,-0.909
66.237,3380.682,-0.985
67.742,3314.394,-0.985
69.247,3234.849,-0.985
70.753,3181.818,-0.985
72.258,3102.273,-1.061
73.763,3022.727,-0.985
75.269,2943.182,-0.909
76.774,2850.379,-0.985
78.28,2784.091,-0.909
79.785,2704.545,-0.985
81.29,2638.258,-0.985
82.796,2571.97,-0.985
84.301,2492.424,-0.909
85.806,2426.136,-0.985
87.312,2346.591,-0.985
88.817,2267.045,-0.909
90.323,2187.5,-0.909
91.828,2121.212,-1.061
93.333,2041.667,-0.909
94.839,1975.379,-0.909
96.344,1895.833,-0.985
97.849,1803.03,-0.985
99.355,1723.485,-0.985
100.86,1670.454,-0.985
102.366,1564.394,-0.909
103.871,1511.364,-1.061
105.376,1445.076,-0.985
106.882,1365.53,-0.985
108.387,1285.985,-0.909
109.892,1206.439,-0.909
111.398,1140.151,-0.909
112.903,1047.349,-0.985
114.409,967.803,-0.985
115.914,888.258,-0.909
117.419,808.712,-0.985
118.925,755.682,7.273
120.43,676.136,-1.364
121.935,609.848,-0.909
123.441,543.561,-0.455
124.946,490.53,-0.455
126.452,424.242,-0.833
127.957,344.697,-0.985
129.462,291.667,-0.833
130.968,225.379,-0.227
132.473,172.348,-0.758
133.978,92.803,-0.758
135.484,66.288,
